Rank	Feature	Rank score	correlation	ID	Variable	Property1	Property2	Type	Usage	Description
1	k	3822.923622	0.211507	1	k	expression	phase score	numerical	pred	number of phase positions expressed by 21-nt sRNA within the 9-cycle window
2	ext_k	2447.380722	0.192420	7	ext_k	expression	phase score	numerical	pred	updated number of phasing positions after increasing the boundary beyond the 9-cycle window
3	n	1143.451981	0.201415	2	n	expression	phase score	numerical	pred	number of all positions expressed by 21-nt sRNA within the 9-cycle window
4	Guo_b_ccdf	1045.723519	-0.184756	28	Guo_b_ccdf	expression	phase score	numerical	pred	see ID 25
5	twohitBool_True	999.475062	0.083493	33	twohitBool	structure	miRNA targeting	categorical	"pred, vali"	"boolean, miRNA that targets this segment twice or more"
6	eff_frq	850.318308	0.173554	6	eff_frq	expression	phase score	numerical	pred	freqeuncy of the most abundant effector siRNA allowing drift
7	length	807.453192	-0.165376	8	length	structure	length	numerical	pred	length of the segment; R_bound - L_bound + 1
8	md3C	802.991611	0.066423	92	md3C	expression	nucleotide frequency	numerical	pred	see ID 83
9	eff5p1di_TA	783.107262	0.163048	118	eff5p1di	structure	nucleotide type	categorical	"pred, vali"	di-nucleotide base type at a specific position on active siRNA
10	BestScore	714.999963	0.155127	31	BestScore	structure	miRNA targeting	numerical	"pred, vali"	the highest targeting score among miRBase microRNAs
11	md2C	705.032285	-0.154776	88	md2C	expression	nucleotide frequency	numerical	pred	see ID 83
12	3p3G	696.833784	0.152626	73	3p3G	expression	nucleotide frequency	numerical	pred	see ID 63
13	eff5p1tri_TAA	669.675658	0.060433	133	eff5p1tri	structure	nucleotide type	categorical	"pred, vali"	tri-nucleotide base type at a specific position on active siRNA
14	pval_b	639.799438	-0.142551	10	pval_b	expression	phase score	numerical	pred	"minimum score in a segment's windows; Chen_Xia_2013 (cycle, k, N)"
15	max_mfe	616.363237	0.148928	12	max_mfe	structure	MFE	numerical	pred	maximum MFE of folding sequences in a segment's scanning windows
16	premfe	614.616807	-0.149104	14	premfe	structure	MFE	numerical	"pred, vali"	"MFE of the structure [R_bound, L_bound], calculated by RNAfold"
17	NBtripletC	554.592813	-0.062525	158	NBtripletC	structure	triplet	numerical	"pred, vali"	see ID 156
18	5p1T	531.864779	0.134027	46	5p1T	expression	nucleotide frequency	numerical	pred	see ID 43
19	5p1C	527.126478	-0.133203	44	5p1C	expression	nucleotide frequency	numerical	pred	see ID 43
20	eff5p2tri_ATG	525.347597	0.053634	134	eff5p2tri	structure	nucleotide type	categorical	"pred, vali"	see ID 133
21	eff5p1_T	513.952748	0.061537	103	eff5p1	structure	nucleotide type	categorical	"pred, vali"	single nucleotide base type at a specific position on active siRNA
22	eff5p1_3p3_TG	513.506408	0.055135	148	eff5p1_3p3	structure	nucleotide type	categorical	"pred, vali"	the first and the last nucleotides on active siRNA
23	effmd4tri_AAG	499.731624	0.052489	146	effmd4tri	structure	nucleotide type	categorical	"pred, vali"	see ID 133
24	GC%	487.344754	-0.132253	23	GC%	expression	nucleotide frequency	numerical	pred	"expression-weighted percentage of G or C in a segment considering Dicer Call; i.e., G\% + C\%"
25	effmd1tri_ATG	485.574678	0.051647	143	effmd1tri	structure	nucleotide type	categorical	"pred, vali"	see ID 133
26	Howell_ccdf	481.076035	-0.124531	25	Howell_ccdf	expression	phase score	numerical	pred	"significant if $<$ 0.05, Complementary Cumulative Distribution Function"
27	5p4C	479.122717	-0.126766	56	5p4C	expression	nucleotide frequency	numerical	pred	see ID 43
28	Howellb_ccdf	478.989894	-0.123195	26	Howellb_ccdf	expression	phase score	numerical	pred	see ID 25
29	effmd2tri_GTA	470.912263	0.050819	144	effmd2tri	structure	nucleotide type	categorical	"pred, vali"	see ID 133
30	3p4C	454.438073	-0.123689	76	3p4C	expression	nucleotide frequency	numerical	pred	see ID 63
31	effmd2tri_AGA	450.17802	0.049981	144	effmd2tri	structure	nucleotide type	categorical	"pred, vali"	see ID 133
32	eff_pos	449.069567	0.120437	5	eff_pos	expression	abundance	numerical	pred	coordinate of the most abundant effector siRNA allowing drift
33	dist_5p	447.916089	0.122603	15	dist_5p	structure	length	numerical	"pred, vali"	eff_seq relative position on precursor
