feature	importance(chi2)	correlation(pointbiserialr)
eff_pos	449.0695669	0.120436884
premfe_200_500	11.78434004	0.020729717
premfe_500_200	54.17535665	0.044540586
Guo_b_ccdf	1045.723519	-0.184756195
max_mfe	616.3632369	0.14892802
CCC..(	0.288559249	-0.014590043
pval_b_cdf	257.800173	-0.091250104
GGG(.(	0.122199016	-0.009743477
AAA(.(	0.000321226	0.000490582
Howellb_ccdf	478.9898938	-0.123194691
anyhitBool_True	25.74853859	0.048438849
occ_bulge10nt	0.012455073	0.003180366
pval_cdf	12.16623838	0.019824284
pval_fdr	56.45194641	0.04477309
occ_loop10nt	0.853931872	0.027858299
min_mfe	1.512361729	-0.007319951
occ_bulge11nt	0.000549446	-0.000713016
occ_loop11nt	0.026429969	-0.00542047
occ_loop5nt	1.23707229	-0.01644382
AAA(..	0.872260441	0.014224827
Howell_ccdf	481.0760345	-0.124530608
TTT...	0.001791258	-0.000591843
occ_loop3nt	1.979977939	0.020991658
occ_loop8nt	1.334076827	0.018875873
CCC(.(	0.003931081	-0.002202237
twohitBool_False	293.9365993	-0.083493137
premfe	614.6168066	-0.149103897
occ_bulge6nt	0.096940237	0.004868686
occ_loop12nt	0.022768206	-0.005518331
GGG((.	1.596618161	-0.021077885
AAA..(	0.402556081	0.010046822
CCC(((	4.020900798	-0.032994367
occ_bulge12nt	6.31E-05	-0.000296205
occ_bulge13nt	0.001117354	0.001318523
occ_loop7nt	0.000190186	-0.000255312
TTT.((	0.467134731	0.012495726
AAA((.	0.021027345	-0.002663946
mircheck_conclu25_NONPAIRING	18.74991137	0.017407584
TTT((.	0.829009806	-0.016248087
GGG.((	0.567573481	-0.013628987
mircheck_conclu_NONPAIRING	9.002003532	-0.012743058
occ_bulge7nt	0.554318655	-0.01343304
occ_loop14nt	0.001765058	-0.001683527
AAA.((	0.848875491	0.016920595
mircheck_conclu52_NONPAIRING	12.4141825	0.013945685
TTT..(	0.442664867	0.012552934
CCC...	1.569098172	-0.023804195
occ_loop13nt	0.0014555	-0.001579647
CCC(..	1.605542012	-0.027027351
k	3822.923622	0.211506757
occ_bulge14nt	0.00729352	-0.003598324
TTT(..	0.033248697	0.003541153
occ_bulge8nt	0.165550511	-0.008363324
n	1143.451981	0.201414606
BestScore	714.9999634	0.155127347
Guo_ccdf	163.1941501	-0.072721614
occ_bulge15nt	0.001699274	0.001854398
GGG...	0.104528606	0.006887878
occ_loop15nt	0.000246101	0.000714475
occ_bulge16nt	6.21E-06	0.000115741
GGG..(	0.14328522	-0.008276539
occ_loop16nt	0.016084251	0.00598222
occ_loop19nt	0.001733234	0.002087877
occ_bulge17nt	2.61E-06	-7.68E-05
occ_loop20nt	0.004100676	0.003217595
CCC((.	0.583908574	-0.018152122
occ_loop17nt	5.37E-05	0.000352862
occ_loop18nt	0.000111953	0.000511852
md3C	802.9916107	-0.165376493
occ_bulge18nt	0.000335092	0.000895622
A.(.	0.004003033	0.002280076
ext_k	2447.380722	0.192419782
occ_loop23nt	0.004003033	0.002280076
eff_frq	850.3183077	0.173554118
occ_bulge19nt	0.001051494	0.001586522
occ_bulge20nt	0.001058683	0.001626626
occ_bulge22nt	0.004003033	0.002280076
occ_bulge21nt	0.009390117	0.004850515
C.(.	0.004003033	0.002280076
CCC.((	0.449596903	-0.01650233
TTT.(.	0.004003033	0.002280076
3p3G	696.8337843	0.152625726
AAA.(.	0.004003033	0.002280076
CCC.(.	0.004003033	0.002280076
GGG.(.	0.004003033	0.002280076
T.(.	0.004003033	0.002280076
eff_strand_W	8.843551197	0.009731075
occ_bulge23nt	0.004003033	0.002280076
occ_loop22nt	0.004003033	0.002280076
G.(.	0.004003033	0.002280076
TTT(.(	0.015267044	0.003014445
occ_loop21nt	0.004003033	0.002280076
occ_loop9nt	0.117122292	-0.008870883
occ_bulge4nt	0.700258295	0.00839524
GGG(((	13.49664512	-0.034016722
pval_b	639.7994383	-0.142551276
occ_loop4nt	0.178748003	-0.004464164
C(.(	3.310864227	-0.0166685
GGG(..	0.039902398	-0.005139015
eff_strand_C	2.664489948	-0.005308414
G(.(	1.072055514	0.009720057
occ_bulge9nt	0.000308414	0.000450516
AAA...	3.145488198	0.016419386
dominant_strand_both	25.45323113	0.016327162
TTT(((	1.455182515	0.011527554
pval	18.86190474	0.024981799
5p2T	421.3453185	0.120043465
5p1T	531.8647794	0.134026726
GC%	487.3447541	-0.132252628
md2C	705.0322845	-0.154776409
length	780.6077489	0.163047875
5p4C	479.1227171	-0.12676587
5p1C	527.1264779	-0.133202899
occ_bulge5nt	0.901637733	-0.011685518
5p5C	443.7924153	-0.12089384
occ_loop6nt	0.013078433	0.001510008
AAA(((	0.272722507	0.006857046
3p4C	454.4380726	-0.123689163
5p2A	188.9776282	0.080217543
md1C	246.5083964	-0.092487132
md4C	224.8379605	-0.08752037
5p3G	117.143802	0.063292211
3p2T	253.0706382	0.092946098
3p2C	292.0040964	-0.099145919
md4T	333.776969	-0.107013377
3p1G	127.0744004	0.064944629
5p3C	251.8176825	-0.092188969
5p1G	396.3918518	-0.114694466
5p2G	196.2254432	-0.080964288
5p2C	381.4311343	-0.113628969
5p5A	229.06299	0.088803203
md1G	59.50965926	0.045522231
eff5p1_A	4.427030947	-0.006390394
5p4T	117.1382335	0.062847825
3p5A	144.9052305	0.071095498
md3A	176.628052	0.077420847
3p2G	2.162133915	0.008575107
md5G	28.35040116	0.030680871
5p4G	103.5874483	0.059534756
3p3A	166.4207692	-0.074671325
3p4A	150.1257807	0.072064336
occ_bulge3nt	1.542692989	0.010272336
5p4A	2.144890112	-0.008613916
md4A	210.7933564	0.084681568
dist_5p	447.9160893	0.122603016
3p5G	8.791804689	0.017382202
dist_3p	427.3548325	0.117423588
G%	23.32315464	-0.028571966
3p3C	98.45690293	-0.057979524
md2A	65.83839565	0.047772042
md2G	3.758544464	0.011221324
3p1A	18.76507905	0.025243654
3p1C	158.3823771	-0.07303546
md5C	16.42548626	-0.023764546
occ_loopAllnt	0.383064742	0.004552754
md4G	58.88961114	0.044561092
md3T	41.73663704	0.037821976
3p4G	9.750188465	0.018067999
3p5T	4.723686712	-0.012808988
3p1T	0.068029003	0.001527625
3p5C	158.5236337	-0.073192494
T(.(	0.67794319	0.006813323
5p3A	36.93927633	-0.035653173
md2T	104.1442313	0.060239181
T%	162.3040441	0.076421345
A%	175.9195207	0.079466353
3p2A	42.53301782	0.038138142
A(.(	0.287429418	0.00380751
3p3T	113.8009661	-0.06224601
eff3p1_A	9.068245914	0.008740611
5p5T	86.21029842	0.054372608
md5T	2.859309218	-0.009936225
5p1A	47.79077274	0.040475443
md1T	19.29878884	0.025445464
occ_bulge2nt	1.909582659	0.009600672
md1A	1.407278543	0.006980254
3p4T	29.8167382	0.031868581
5p3T	30.20405225	0.032015336
eff3p3_G	427.4469103	0.058295072
md3G	11.26009001	0.019531874
5p5G	12.11767357	-0.020083733
C%	95.8672181	-0.058076486
eff5p4_G	28.48049503	0.014933841
eff5p3_G	49.44620311	-0.019857186
eff5p3_A	10.67063619	0.009107278
md5A	2.281560302	0.008785793
eff3p2_G	15.0471783	-0.010760175
effmd5_A	1.011367234	-0.002784042
effmd4_G	57.9353195	0.020968231
eff5p5_A	0.354441071	0.001660218
effmd1_G	42.67239114	0.01798348
effmd3_A	4.498586767	0.00590653
effmd2_A	45.40431536	0.018648911
occ_bulgeAllnt	2.831417959	0.01029706
eff3p4_G	1.925865385	0.003830773
eff3p5_G	6.677524393	0.007177448
eff5p2_G	20.26547037	-0.012443476
effmd2_G	0.532658901	0.002009459
effmd4_A	47.03290835	0.01889809
